Centil,Puntaje_directo-min,Puntaje_directo-max
1,60,65
2,66,68
3,69,71
4,72,73
5,74,78
7,79,79
9,80,81
10,82,86
15,87,88
20,89,91
25,92,94
30,95,96
35,97,98
40,99,100
45,101,102
50,103,105
55,106,106
60,107,109
65,110,111
70,112,113
75,114,116
80,117,118
85,119,121
90,122,122
91,123,123
93,124,126
95,127,127
96,128,128
97,129,129
98,130,131
99,132,132
