Centil,Puntaje_directo-min,Puntaje_directo-max
1,30,33
2,34,34
3,35,35
4,36,36
5,37,38
7,39,39
9,40,39
10,40,41
15,42,43
20,44,45
25,46,46
30,47,47
35,48,49
40,50,50
45,51,51
50,52,52
55,53,54
60,55,54
65,55,56
70,57,57
75,58,58
80,59,59
85,60,61
90,62,62
91,63,62
93,63,63
95,64,64
96,65,66
97,67,66
98,67,68
99,69,69
