Centil,Puntaje_min,Puntaje_max
1,1,29
4,30,38
5,39,39
10,40,43
11,44,44
15,45,46
20,47,49
23,50,50
25,51,51
30,52,53
35,54,55
40,56,56
45,57,57
50,58,58
55,59,59
60,60,60
65,61,61
70,62,62
75,63,63
77,64,64
80,65,65
85,66,66
89,67,67
90,68,68
95,69,70
97,71,71
99,72,75
