Centil,Puntaje_directo-min,Puntaje_directo-max
1,33,37
2,38,38
3,39,39
4,40,40
5,41,42
7,43,44
9,45,44
10,45,46
15,47,47
20,48,49
25,50,50
30,51,51
35,52,51
40,52,52
45,53,53
50,54,54
55,55,55
60,56,56
65,57,57
70,58,58
75,59,60
80,61,61
85,62,63
90,64,63
91,64,65
93,66,66
95,67,67
96,68,68
97,69,69
98,70,70
99,71,71
